Date,USDBRL
18/11/2011,"1,7778"
19/11/2011,"1,7778"
21/11/2011,"1,8042"
22/11/2011,"1,8117"
23/11/2011,"1,8593"
24/11/2011,"1,8755"
25/11/2011,"1,8803"
26/11/2011,"1,8741"
27/11/2011,"1,8803"
28/11/2011,"1,8547"
29/11/2011,"1,8415"
30/11/2011,"1,808"
01/12/2011,"1,799"
02/12/2011,"1,7935"
03/12/2011,"1,7759"
04/12/2011,"1,7952"
05/12/2011,"1,7796"
06/12/2011,"1,791"
07/12/2011,"1,7987"
08/12/2011,"1,817"
09/12/2011,"1,8049"
10/12/2011,"1,8015"
12/12/2011,"1,8092"
13/12/2011,"1,8577"
14/12/2011,"1,8763"
15/12/2011,"1,8588"
16/12/2011,"1,8559"
18/12/2011,"1,853"
19/12/2011,"1,8665"
20/12/2011,"1,8418"
21/12/2011,"1,8553"
22/12/2011,"1,851"
23/12/2011,"1,858"
24/12/2011,"1,8575"
27/12/2011,"1,86"
28/12/2011,"1,8767"
29/12/2011,"1,8652"
30/12/2011,"1,8627"
31/12/2011,"1,8623"
02/01/2012,"1,8701"
03/01/2012,"1,8345"
04/01/2012,"1,8184"
05/01/2012,"1,843"
06/01/2012,"1,85"
07/01/2012,"1,8476"
09/01/2012,"1,841"
10/01/2012,"1,799"
11/01/2012,"1,8035"
12/01/2012,"1,7809"
13/01/2012,"1,7888"
14/01/2012,"1,7908"
16/01/2012,"1,7793"
17/01/2012,"1,7795"
18/01/2012,"1,7683"
19/01/2012,"1,7555"
20/01/2012,"1,763"
21/01/2012,"1,7601"
23/01/2012,"1,752"
24/01/2012,"1,7584"
25/01/2012,"1,76"
26/01/2012,"1,7381"
27/01/2012,"1,7372"
28/01/2012,"1,738"
30/01/2012,"1,7463"
31/01/2012,"1,7448"
01/02/2012,"1,7317"
02/02/2012,"1,7181"
03/02/2012,"1,7153"
04/02/2012,"1,7152"
05/02/2012,"1,7153"
06/02/2012,"1,7237"
07/02/2012,"1,7234"
08/02/2012,"1,7188"
09/02/2012,"1,7155"
10/02/2012,"1,7206"
11/02/2012,"1,7158"
12/02/2012,"1,7188"
13/02/2012,"1,7152"
14/02/2012,"1,7161"
15/02/2012,"1,7278"
16/02/2012,"1,7155"
17/02/2012,"1,7139"
18/02/2012,"1,7115"
19/02/2012,"1,7093"
20/02/2012,"1,7169"
21/02/2012,"1,7145"
22/02/2012,"1,7051"
23/02/2012,"1,7129"
24/02/2012,"1,7076"
25/02/2012,"1,7066"
27/02/2012,"1,706"
28/02/2012,"1,6976"
29/02/2012,"1,7166"
01/03/2012,"1,7135"
02/03/2012,"1,7286"
03/03/2012,"1,7282"
04/03/2012,"1,7293"
05/03/2012,"1,7378"
06/03/2012,"1,7589"
07/03/2012,"1,7678"
08/03/2012,"1,7611"
09/03/2012,"1,7891"
10/03/2012,"1,7891"
11/03/2012,"1,7891"
12/03/2012,"1,7987"
13/03/2012,"1,7916"
14/03/2012,"1,8034"
15/03/2012,"1,7991"
16/03/2012,"1,7938"
17/03/2012,"1,798"
18/03/2012,"1,7975"
19/03/2012,"1,8207"
20/03/2012,"1,8141"
21/03/2012,"1,8192"
22/03/2012,"1,8184"
23/03/2012,"1,8091"
24/03/2012,"1,7982"
25/03/2012,"1,8092"
26/03/2012,"1,8165"
27/03/2012,"1,8212"
28/03/2012,"1,8248"
29/03/2012,"1,8224"
30/03/2012,"1,8254"
31/03/2012,"1,8241"
01/04/2012,"1,8244"
02/04/2012,"1,8323"
03/04/2012,"1,8272"
04/04/2012,"1,8282"
05/04/2012,"1,823"
06/04/2012,"1,8243"
07/04/2012,"1,8195"
08/04/2012,"1,8179"
09/04/2012,"1,8184"
10/04/2012,"1,8326"
11/04/2012,"1,8344"
12/04/2012,"1,8268"
13/04/2012,"1,8373"
14/04/2012,"1,8375"
15/04/2012,"1,8375"
16/04/2012,"1,8458"
17/04/2012,"1,8571"
18/04/2012,"1,8776"
19/04/2012,"1,8801"
20/04/2012,"1,8718"
21/04/2012,"1,8716"
22/04/2012,"1,8704"
23/04/2012,"1,88"
24/04/2012,"1,8797"
25/04/2012,"1,8781"
26/04/2012,"1,8834"
27/04/2012,"1,8852"
28/04/2012,"1,8851"
29/04/2012,"1,885"
30/04/2012,"1,9081"
01/05/2012,"1,9061"
02/05/2012,"1,9218"
03/05/2012,"1,9092"
04/05/2012,"1,9246"
05/05/2012,"1,8966"
06/05/2012,"1,8962"
07/05/2012,"1,9174"
08/05/2012,"1,9384"
09/05/2012,"1,9696"
10/05/2012,"1,9538"
11/05/2012,"1,9638"
12/05/2012,"1,9638"
13/05/2012,"1,961"
14/05/2012,"1,9938"
15/05/2012,2
16/05/2012,2
17/05/2012,"2,008"
18/05/2012,"2,0227"
19/05/2012,"2,0226"
21/05/2012,"2,036"
22/05/2012,"2,0899"
23/05/2012,"2,027"
